idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
0,0.471856,0.170595,0.385708,0.150021,-0.237735,-0.959675,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.471856,0.170595,0.385708,0.150021,-0.237735,-0.959675,0.985903,0.032820,0.164070,0.000000,0.000000
2,0.476197,0.170739,0.386431,0.170047,-0.236954,-0.956523,0.985312,0.016338,0.169982,0.004403,0.004403
3,0.481122,0.170748,0.387307,0.201984,-0.254295,-0.945800,0.983032,0.017639,0.182584,0.005003,0.009405
4,0.484704,0.170892,0.388011,0.194586,-0.259731,-0.945873,0.978800,0.042041,0.200457,0.003653,0.013059
5,0.488837,0.171080,0.388887,0.235100,-0.296724,-0.925572,0.985884,0.032185,0.164307,0.004229,0.017288
6,0.492909,0.171308,0.389846,0.231098,-0.297343,-0.926380,0.983703,0.035146,0.176334,0.004190,0.021477
7,0.496902,0.171503,0.390764,0.196009,-0.263551,-0.944522,0.984288,0.035204,0.173025,0.004102,0.025579
8,0.501002,0.171670,0.391524,0.168873,-0.264904,-0.949372,0.985047,0.036621,0.168349,0.004173,0.029752
9,0.505041,0.171864,0.392184,0.167476,-0.266243,-0.949245,0.986186,0.037638,0.161309,0.004097,0.033849
10,0.509088,0.172057,0.392841,0.138979,-0.314565,-0.939007,0.987856,0.036055,0.151134,0.004105,0.037954
11,0.513217,0.172140,0.393326,0.133839,-0.320189,-0.937852,0.989859,0.033477,0.138049,0.004158,0.042112
12,0.517311,0.172313,0.394021,0.127810,-0.325035,-0.937026,0.991930,0.030447,0.123077,0.004157,0.046269
13,0.521417,0.172489,0.394682,0.115501,-0.330095,-0.936855,0.993642,0.027726,0.109116,0.004162,0.050431
14,0.525568,0.172686,0.395254,0.103138,-0.338141,-0.935427,0.994758,0.025617,0.099001,0.004195,0.054626
15,0.529725,0.172793,0.395621,0.092877,-0.344254,-0.934271,0.995895,0.023135,0.087510,0.004174,0.058800
16,0.533902,0.172878,0.395884,0.078244,-0.348367,-0.934087,0.996960,0.020336,0.075220,0.004187,0.062987
17,0.538113,0.172911,0.395979,0.063682,-0.352442,-0.933664,0.997936,0.016979,0.061932,0.004212,0.067198
18,0.542317,0.172953,0.396068,0.050220,-0.357307,-0.932636,0.998776,0.013009,0.047721,0.004205,0.071403
19,0.546551,0.173004,0.396200,0.035059,-0.362139,-0.931465,0.999427,0.008554,0.032744,0.004237,0.075640
20,0.550766,0.173133,0.396503,0.019811,-0.366511,-0.930203,0.999841,0.003757,0.017420,0.004228,0.079868
21,0.554997,0.173210,0.396724,0.005339,-0.367856,-0.929867,0.999997,-0.001233,0.002016,0.004238,0.084106
22,0.559239,0.173267,0.396891,-0.015505,-0.367794,-0.929778,0.999883,-0.006892,-0.013658,0.004246,0.088352
23,0.563487,0.173181,0.396642,-0.036716,-0.366967,-0.929509,0.999458,-0.014382,-0.029603,0.004256,0.092607
24,0.567695,0.173101,0.396429,-0.060112,-0.366385,-0.928520,0.998649,-0.024777,-0.045673,0.004214,0.096821
25,0.571915,0.173062,0.396326,-0.081875,-0.365645,-0.927147,0.997339,-0.039204,-0.061467,0.004222,0.101043
26,0.576118,0.172997,0.396161,-0.103785,-0.366420,-0.924643,0.995373,-0.058626,-0.076125,0.004207,0.105250
27,0.580313,0.172886,0.395878,-0.124520,-0.367075,-0.921819,0.992526,-0.083718,-0.088787,0.004205,0.109455
28,0.584469,0.172765,0.395531,-0.148242,-0.363165,-0.919856,0.988392,-0.115193,-0.099055,0.004172,0.113628
29,0.588578,0.172639,0.395114,-0.172085,-0.359019,-0.917329,0.982336,-0.153558,-0.106940,0.004132,0.117760
30,0.592606,0.172449,0.394528,-0.202167,-0.355768,-0.912446,0.973508,-0.199204,-0.112246,0.004075,0.121834
31,0.596529,0.172202,0.393855,-0.232755,-0.347822,-0.908210,0.960769,-0.252712,-0.114279,0.003988,0.125822
32,0.600464,0.171881,0.393094,-0.261463,-0.341411,-0.902815,0.942634,-0.314547,-0.111807,0.004021,0.129844
33,0.604205,0.171465,0.392110,-0.289085,-0.332291,-0.897782,0.917324,-0.384445,-0.103534,0.003890,0.133734
34,0.607956,0.171089,0.391169,-0.311449,-0.323443,-0.893524,0.882868,-0.461156,-0.088768,0.003886,0.137619
35,0.611462,0.170734,0.390056,-0.338585,-0.311134,-0.888007,0.837092,-0.542951,-0.066946,0.003696,0.141315
36,0.614454,0.169927,0.389384,-0.360618,-0.300279,-0.883056,0.777542,-0.627673,-0.038146,0.003171,0.144486
37,0.616871,0.168525,0.388890,-0.380184,-0.289773,-0.878346,0.701696,-0.712470,-0.002949,0.002837,0.147323
38,0.618976,0.166747,0.388503,-0.393998,-0.276449,-0.876551,0.607709,-0.793247,0.038062,0.002783,0.150106
39,0.620442,0.164462,0.388458,-0.402450,-0.268181,-0.875279,0.495062,-0.864817,0.083695,0.002715,0.152821
40,0.621602,0.161775,0.388651,-0.408142,-0.260282,-0.875027,0.364626,-0.921709,0.132289,0.002933,0.155754
41,0.622207,0.158583,0.389097,-0.413791,-0.253096,-0.874482,0.219196,-0.958618,0.181673,0.003279,0.159033
42,0.622485,0.154744,0.389943,-0.417734,-0.246481,-0.874497,0.063740,-0.971390,0.228775,0.003941,0.162974
43,0.622772,0.150927,0.390511,-0.417017,-0.240583,-0.876480,-0.095126,-0.958039,0.270392,0.003869,0.166843
44,0.622675,0.147646,0.391158,-0.413781,-0.232802,-0.880107,-0.250204,-0.919301,0.303781,0.003346,0.170190
45,0.622011,0.144829,0.392045,-0.403053,-0.224543,-0.887203,-0.394877,-0.858424,0.327385,0.003027,0.173217
46,0.621005,0.142723,0.393258,-0.395360,-0.213561,-0.893355,-0.524225,-0.780266,0.341136,0.002630,0.175847
47,0.619346,0.141145,0.394527,-0.383530,-0.202430,-0.901070,-0.635203,-0.690584,0.345847,0.002618,0.178465
48,0.617003,0.140091,0.395912,-0.371000,-0.192629,-0.908434,-0.726765,-0.595480,0.342369,0.002918,0.181384
49,0.614054,0.139813,0.397198,-0.354327,-0.188063,-0.916016,-0.799821,-0.500461,0.331400,0.003229,0.184612
50,0.610425,0.139882,0.398254,-0.337498,-0.183422,-0.923283,-0.856403,-0.409766,0.314112,0.003780,0.188392
51,0.606583,0.140046,0.399362,-0.309765,-0.177719,-0.934057,-0.898913,-0.326465,0.292193,0.004002,0.192394
52,0.602538,0.140228,0.400531,-0.282055,-0.176315,-0.943058,-0.929899,-0.252701,0.267263,0.004214,0.196609
53,0.598413,0.140361,0.401571,-0.254092,-0.174760,-0.951260,-0.951859,-0.189551,0.240906,0.004257,0.200865
54,0.594251,0.140446,0.402497,-0.223758,-0.174876,-0.958828,-0.967224,-0.136954,0.213824,0.004265,0.205130
55,0.589953,0.140465,0.402983,-0.193937,-0.174796,-0.965316,-0.977985,-0.094278,0.186162,0.004326,0.209456
56,0.585668,0.140538,0.403469,-0.160506,-0.173614,-0.971646,-0.985536,-0.060606,0.158260,0.004313,0.213769
57,0.581401,0.140629,0.404011,-0.130392,-0.172219,-0.976391,-0.990838,-0.035204,0.130390,0.004302,0.218071
58,0.576994,0.140750,0.404525,-0.097999,-0.171106,-0.980367,-0.994542,-0.017299,0.102891,0.004438,0.222509
59,0.572628,0.140876,0.405012,-0.071223,-0.172901,-0.982361,-0.997068,-0.005955,0.076286,0.004395,0.226904
60,0.568244,0.141023,0.405486,-0.051935,-0.170548,-0.983980,-0.998704,-0.000163,0.050902,0.004412,0.231317
61,0.563719,0.141066,0.405621,-0.032650,-0.168133,-0.985223,-0.999634,0.001352,0.027020,0.004527,0.235843
62,0.559256,0.141086,0.405590,-0.010455,-0.165269,-0.986193,-0.999989,0.000015,0.004648,0.004463,0.240307
63,0.554804,0.141025,0.405471,0.014120,-0.165968,-0.986030,-0.999863,-0.002721,-0.016351,0.004454,0.244760
64,0.550274,0.140935,0.405191,0.035979,-0.167768,-0.985170,-0.999329,-0.005755,-0.036165,0.004540,0.249300
65,0.545855,0.140851,0.404852,0.054786,-0.171766,-0.983613,-0.998462,-0.008693,-0.054750,0.004432,0.253732
66,0.541481,0.140770,0.404569,0.070656,-0.174169,-0.982178,-0.997351,-0.011394,-0.071848,0.004384,0.258116
67,0.537159,0.140662,0.404100,0.082762,-0.177757,-0.980588,-0.996079,-0.013821,-0.087384,0.004349,0.262466
68,0.532924,0.140582,0.403522,0.097001,-0.178975,-0.979060,-0.994696,-0.016469,-0.101528,0.004275,0.266741
69,0.528684,0.140467,0.402751,0.111450,-0.178250,-0.977653,-0.993217,-0.020282,-0.114495,0.004311,0.271051
70,0.524403,0.140405,0.402090,0.125348,-0.176143,-0.976351,-0.991657,-0.026272,-0.126198,0.004333,0.275384
71,0.520194,0.140352,0.401571,0.139984,-0.173170,-0.974893,-0.990043,-0.036365,-0.135985,0.004241,0.279625
72,0.516067,0.140246,0.400846,0.149435,-0.170298,-0.973996,-0.988300,-0.051986,-0.143392,0.004191,0.283816
73,0.511948,0.140137,0.400080,0.157708,-0.167071,-0.973250,-0.986152,-0.074242,-0.148299,0.004191,0.288008
74,0.507845,0.139960,0.399120,0.166135,-0.163830,-0.972399,-0.983044,-0.104106,-0.150950,0.004217,0.292225
75,0.503713,0.139812,0.398263,0.172099,-0.161672,-0.971722,-0.978146,-0.142441,-0.151465,0.004222,0.296447
76,0.499625,0.139685,0.397450,0.178762,-0.159487,-0.970880,-0.970363,-0.189781,-0.149598,0.004170,0.300618
77,0.495489,0.139578,0.396923,0.185413,-0.157295,-0.969990,-0.958224,-0.246602,-0.144893,0.004170,0.304788
