idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
0,0.526583,0.258469,0.504051,0.072468,-0.003548,-0.997364,-0.010864,-0.999764,0.018823,0.000000,0.000000
1,0.526582,0.256985,0.504056,0.072468,-0.003548,-0.997364,-0.000884,-0.999994,0.003474,0.001484,0.001484
2,0.526581,0.255501,0.504061,0.072468,-0.003548,-0.997364,-0.001332,-0.999955,0.009386,0.001484,0.002968
3,0.526578,0.254033,0.504084,0.072449,-0.023417,-0.997097,-0.002059,-0.999811,0.019342,0.001469,0.004437
4,0.526575,0.252550,0.504118,0.072449,-0.023417,-0.997097,-0.006121,-0.999847,0.016363,0.001483,0.005920
5,0.526560,0.251053,0.504132,0.087085,-0.008691,-0.996163,-0.002108,-0.999882,0.015187,0.001496,0.007417
6,0.526573,0.249216,0.504149,0.087085,-0.008691,-0.996163,-0.001020,-0.999936,0.011257,0.001838,0.009255
7,0.526572,0.248079,0.504169,0.087022,-0.038982,-0.995443,-0.000847,-0.999962,0.008681,0.001137,0.010392
8,0.526567,0.246592,0.504227,0.087022,-0.038982,-0.995443,-0.000589,-0.999986,0.005237,0.001488,0.011879
9,0.526562,0.245108,0.504284,0.087022,-0.038982,-0.995443,-0.000260,-1.000000,0.000612,0.001485,0.013365
10,0.526563,0.243620,0.504329,0.069059,-0.020925,-0.997393,0.000446,-0.999992,-0.004028,0.001489,0.014853
11,0.526562,0.242135,0.504360,0.069059,-0.020925,-0.997393,0.000654,-0.999965,-0.008342,0.001485,0.016339
12,0.526570,0.240622,0.504256,0.068811,0.087243,-0.993808,0.000458,-0.999913,-0.013156,0.001516,0.017855
13,0.526583,0.239146,0.504134,0.034619,0.053128,-0.997987,0.000855,-0.999806,-0.019680,0.001482,0.019337
14,0.526589,0.237661,0.504055,0.034619,0.053128,-0.997987,0.001332,-0.999629,-0.027195,0.001486,0.020823
15,0.526595,0.236177,0.503976,0.034619,0.053128,-0.997987,0.001609,-0.999404,-0.034480,0.001487,0.022310
16,0.526602,0.234691,0.503893,0.034606,0.059350,-0.997637,0.001658,-0.999333,-0.036483,0.001489,0.023798
17,0.526608,0.233204,0.503805,0.034606,0.059350,-0.997637,0.001760,-0.999261,-0.038404,0.001489,0.025287
18,0.526614,0.231718,0.503727,0.028465,0.018350,-0.999426,0.001875,-0.999191,-0.040179,0.001489,0.026776
19,0.526619,0.230231,0.503653,0.026659,0.018056,-0.999481,0.001939,-0.999141,-0.041384,0.001488,0.028264
20,0.526624,0.228743,0.503574,0.025904,0.018815,-0.999487,0.001972,-0.999119,-0.041912,0.001491,0.029755
21,0.526630,0.227268,0.503440,0.024013,0.018607,-0.999538,0.001975,-0.999123,-0.041828,0.001481,0.031236
22,0.526633,0.225790,0.503322,0.022122,0.017951,-0.999594,0.001955,-0.999149,-0.041188,0.001483,0.032719
23,0.526635,0.224309,0.503236,0.020230,0.017295,-0.999646,0.001898,-0.999195,-0.040061,0.001484,0.034202
24,0.526637,0.222827,0.503149,0.018768,0.017552,-0.999670,0.001831,-0.999256,-0.038520,0.001484,0.035686
25,0.526638,0.221348,0.503047,0.017305,0.017809,-0.999692,0.001772,-0.999330,-0.036562,0.001483,0.037169
26,0.526640,0.219869,0.502936,0.015485,0.017706,-0.999723,0.001693,-0.999416,-0.034135,0.001483,0.038652
27,0.526640,0.218389,0.502833,0.013664,0.018803,-0.999730,0.001587,-0.999506,-0.031380,0.001483,0.040136
28,0.526641,0.216910,0.502731,0.011845,0.020638,-0.999717,0.001455,-0.999595,-0.028419,0.001482,0.041618
29,0.526642,0.215426,0.502641,0.009177,0.021625,-0.999724,0.001310,-0.999680,-0.025267,0.001486,0.043105
30,0.526643,0.213945,0.502585,0.006509,0.022610,-0.999723,0.001171,-0.999753,-0.022207,0.001482,0.044587
31,0.526639,0.212459,0.502542,0.004281,0.023514,-0.999714,0.001059,-0.999811,-0.019410,0.001487,0.046073
32,0.526639,0.210977,0.502511,0.002053,0.024416,-0.999700,0.000972,-0.999860,-0.016720,0.001483,0.047556
33,0.526639,0.209494,0.502480,-0.000357,0.022489,-0.999747,0.000901,-0.999901,-0.014030,0.001483,0.049039
34,0.526642,0.207994,0.502567,-0.001932,0.021397,-0.999769,0.000845,-0.999935,-0.011368,0.001502,0.050542
35,0.526648,0.206520,0.502666,-0.003507,0.020304,-0.999788,0.000805,-0.999961,-0.008763,0.001478,0.052019
36,0.526648,0.205038,0.502727,-0.005082,0.019565,-0.999796,0.000779,-0.999980,-0.006244,0.001483,0.053502
37,0.526648,0.203556,0.502789,-0.007289,0.018039,-0.999811,0.000763,-0.999992,-0.003862,0.001484,0.054986
38,0.526648,0.202071,0.502832,-0.009496,0.016514,-0.999819,0.000763,-0.999998,-0.001668,0.001485,0.056471
39,0.526648,0.200585,0.502855,-0.011476,0.015216,-0.999818,0.000775,-1.000000,0.000236,0.001486,0.057957
40,0.526649,0.199099,0.502879,-0.013455,0.012635,-0.999830,0.000792,-0.999998,0.001891,0.001486,0.059443
41,0.526651,0.197615,0.502897,-0.015431,0.009071,-0.999840,0.000808,-0.999994,0.003342,0.001485,0.060928
42,0.526652,0.196131,0.502917,-0.016031,0.006881,-0.999848,0.000818,-0.999990,0.004490,0.001484,0.062412
43,0.526654,0.194647,0.502962,-0.015842,0.005477,-0.999860,0.000831,-0.999985,0.005375,0.001484,0.063897
44,0.526653,0.193162,0.502999,-0.015655,0.006077,-0.999859,0.000838,-0.999982,0.005986,0.001486,0.065382
45,0.526655,0.191677,0.503018,-0.015467,0.006677,-0.999858,0.000834,-0.999980,0.006270,0.001485,0.066867
46,0.526656,0.190192,0.503037,-0.015280,0.006870,-0.999860,0.000834,-0.999980,0.006248,0.001485,0.068352
47,0.526658,0.188704,0.503006,-0.014731,0.006704,-0.999869,0.000843,-0.999983,0.005799,0.001489,0.069841
48,0.526660,0.187221,0.502952,-0.014033,0.006688,-0.999879,0.000864,-0.999988,0.004849,0.001484,0.071325
49,0.526663,0.185737,0.502946,-0.013352,0.010815,-0.999852,0.000883,-0.999993,0.003498,0.001484,0.072809
50,0.526665,0.184252,0.502944,-0.012670,0.015704,-0.999796,0.000897,-0.999998,0.001789,0.001484,0.074293
51,0.526667,0.182767,0.502935,-0.009524,0.018211,-0.999789,0.000925,-0.999999,-0.000549,0.001485,0.075778
52,0.526669,0.181285,0.502911,-0.005959,0.021135,-0.999759,0.000972,-0.999993,-0.003681,0.001483,0.077261
53,0.526672,0.179803,0.502894,-0.002412,0.025098,-0.999682,0.001023,-0.999971,-0.007549,0.001482,0.078743
54,0.526673,0.178318,0.502881,0.001139,0.029063,-0.999577,0.001049,-0.999927,-0.012039,0.001485,0.080228
55,0.526673,0.176833,0.502869,0.003474,0.034050,-0.999414,0.001057,-0.999856,-0.016939,0.001485,0.081713
56,0.526673,0.175348,0.502837,0.005102,0.038335,-0.999252,0.001066,-0.999751,-0.022278,0.001486,0.083199
57,0.526671,0.173859,0.502808,0.006730,0.042620,-0.999069,0.001046,-0.999604,-0.028126,0.001489,0.084687
58,0.526672,0.172372,0.502813,0.008360,0.046725,-0.998873,0.000987,-0.999412,-0.034266,0.001487,0.086175
59,0.526673,0.170886,0.502818,0.005754,0.045972,-0.998926,0.000902,-0.999179,-0.040502,0.001486,0.087661
60,0.526676,0.169403,0.502863,0.003147,0.045218,-0.998972,0.000802,-0.998903,-0.046828,0.001484,0.089145
61,0.526683,0.167924,0.502945,0.000539,0.044464,-0.999011,0.000559,-0.998586,-0.053162,0.001481,0.090626
62,0.526673,0.166433,0.502965,-0.001973,0.042322,-0.999102,0.000173,-0.998260,-0.058964,0.001491,0.092117
63,0.526676,0.164953,0.502965,-0.004486,0.040628,-0.999164,-0.000218,-0.997970,-0.063690,0.001480,0.093597
64,0.526680,0.163442,0.502945,-0.007002,0.038932,-0.999217,-0.000593,-0.997738,-0.067217,0.001511,0.095108
65,0.526686,0.161970,0.502823,-0.010736,0.037598,-0.999235,-0.000931,-0.997565,-0.069731,0.001477,0.096585
66,0.526692,0.160499,0.502701,-0.014444,0.034216,-0.999310,-0.001235,-0.997443,-0.071458,0.001477,0.098062
67,0.526690,0.159029,0.502590,-0.018157,0.030830,-0.999360,-0.001533,-0.997375,-0.072392,0.001474,0.099535
68,0.526694,0.157554,0.502490,-0.019103,0.028971,-0.999398,-0.001824,-0.997361,-0.072580,0.001479,0.101014
69,0.526701,0.156039,0.502191,-0.020049,0.027112,-0.999431,-0.002067,-0.997407,-0.071941,0.001545,0.102558
70,0.526709,0.154609,0.501841,-0.020140,0.026107,-0.999456,-0.002271,-0.997514,-0.070426,0.001472,0.104030
71,0.526703,0.153154,0.501499,-0.020231,0.024426,-0.999497,-0.002453,-0.997668,-0.068213,0.001495,0.105525
72,0.526695,0.151669,0.501286,-0.020322,0.022385,-0.999543,-0.002475,-0.997860,-0.065335,0.001500,0.107025
73,0.526690,0.150197,0.501057,-0.020620,0.020550,-0.999576,-0.002351,-0.998079,-0.061917,0.001490,0.108515
74,0.526693,0.148727,0.500783,-0.020729,0.018904,-0.999606,-0.002217,-0.998303,-0.058200,0.001495,0.110010
75,0.526678,0.147237,0.500543,-0.020837,0.019178,-0.999599,-0.002073,-0.998524,-0.054277,0.001509,0.111519
76,0.526675,0.145756,0.500343,-0.020945,0.019453,-0.999591,-0.001929,-0.998748,-0.049994,0.001494,0.113013
77,0.526671,0.144280,0.500144,-0.021137,0.019287,-0.999591,-0.001788,-0.998980,-0.045119,0.001490,0.114503
78,0.526669,0.142797,0.499953,-0.020692,0.019760,-0.999591,-0.001630,-0.999213,-0.039625,0.001495,0.115998
79,0.526551,0.141197,0.499815,-0.020246,0.021162,-0.999571,-0.001430,-0.999433,-0.033651,0.001610,0.117609
80,0.526558,0.139711,0.499884,-0.019801,0.022563,-0.999549,-0.001233,-0.999621,-0.027505,0.001487,0.119096
81,0.526562,0.138224,0.499953,-0.019355,0.025254,-0.999494,-0.001055,-0.999774,-0.021231,0.001489,0.120585
82,0.526569,0.136715,0.500071,-0.017924,0.026959,-0.999476,-0.000869,-0.999891,-0.014733,0.001514,0.122099
83,0.526575,0.135230,0.500221,-0.017878,0.027282,-0.999468,-0.000680,-0.999966,-0.008215,0.001493,0.123592
84,0.526581,0.133744,0.500370,-0.017832,0.028524,-0.999434,-0.000494,-0.999998,-0.001866,0.001493,0.125084
85,0.526578,0.132254,0.500477,-0.017785,0.027748,-0.999457,-0.000320,-0.999991,0.004337,0.001494,0.126578
86,0.526579,0.130758,0.500608,-0.017738,0.026973,-0.999479,-0.000028,-0.999947,0.010330,0.001502,0.128080
87,0.526591,0.129281,0.500834,-0.016671,0.025177,-0.999544,0.000380,-0.999879,0.015533,0.001495,0.129575
88,0.526593,0.127791,0.500979,-0.015968,0.022394,-0.999622,0.000769,-0.999811,0.019435,0.001496,0.131071
89,0.526605,0.126311,0.501037,-0.015265,0.019611,-0.999691,0.001140,-0.999754,0.022129,0.001481,0.132553
90,0.526616,0.124831,0.501095,-0.013752,0.013449,-0.999815,0.001478,-0.999714,0.023875,0.001481,0.134034
91,0.526628,0.123360,0.501186,-0.012240,0.007294,-0.999898,0.001779,-0.999689,0.024864,0.001473,0.135508
92,0.526639,0.121888,0.501285,-0.013201,0.003537,-0.999907,0.002065,-0.999682,0.025124,0.001476,0.136983
93,0.526650,0.120413,0.501382,-0.014163,0.001175,-0.999899,0.002330,-0.999693,0.024680,0.001477,0.138461
94,0.526662,0.118937,0.501468,-0.015623,-0.002743,-0.999874,0.002554,-0.999720,0.023512,0.001479,0.139940
95,0.526672,0.117444,0.501508,-0.017081,-0.006657,-0.999832,0.002755,-0.999764,0.021537,0.001494,0.141433
96,0.526678,0.115969,0.501479,-0.017326,-0.009373,-0.999806,0.002943,-0.999819,0.018797,0.001475,0.142909
97,0.526679,0.114489,0.501454,-0.017575,-0.010854,-0.999787,0.002975,-0.999875,0.015502,0.001481,0.144389
98,0.526680,0.113007,0.501430,-0.017825,-0.012335,-0.999765,0.002851,-0.999924,0.012019,0.001482,0.145871
99,0.526681,0.111519,0.501405,-0.018076,-0.013636,-0.999744,0.002719,-0.999960,0.008536,0.001488,0.147359
100,0.526681,0.110040,0.501325,-0.013304,-0.011501,-0.999845,0.002574,-0.999984,0.004939,0.001482,0.148841
101,0.526680,0.108559,0.501245,-0.008534,-0.009025,-0.999923,0.002421,-0.999996,0.001191,0.001482,0.150323
102,0.526682,0.107076,0.501188,-0.003763,-0.006549,-0.999971,0.002274,-0.999994,-0.002650,0.001484,0.151807
103,0.526683,0.105592,0.501167,0.000802,-0.002963,-0.999995,0.002130,-0.999977,-0.006488,0.001484,0.153292
104,0.526684,0.104111,0.501113,0.005365,0.000622,-0.999985,0.001992,-0.999946,-0.010224,0.001483,0.154774
105,0.526685,0.102629,0.501037,0.009926,0.004206,-0.999942,0.001887,-0.999904,-0.013705,0.001483,0.156258
106,0.526686,0.101148,0.500962,0.015270,0.005553,-0.999868,0.001804,-0.999857,-0.016817,0.001484,0.157741
107,0.526694,0.099657,0.500947,0.020574,0.008945,-0.999748,0.001732,-0.999807,-0.019583,0.001491,0.159232
108,0.526694,0.098166,0.500950,0.025999,0.012461,-0.999584,0.001682,-0.999757,-0.021992,0.001491,0.160723
109,0.526691,0.096687,0.501017,0.028689,0.013244,-0.999501,0.001649,-0.999712,-0.023958,0.001481,0.162203
110,0.526688,0.095205,0.501063,0.031375,0.011885,-0.999437,0.001627,-0.999675,-0.025437,0.001482,0.163686
111,0.526686,0.093723,0.501082,0.034061,0.010525,-0.999364,0.001611,-0.999652,-0.026342,0.001482,0.165168
112,0.526684,0.092241,0.501102,0.036744,0.009839,-0.999276,0.001595,-0.999647,-0.026529,0.001483,0.166650
113,0.526689,0.090749,0.501052,0.037937,0.010634,-0.999224,0.001565,-0.999662,-0.025932,0.001493,0.168143
114,0.526697,0.089270,0.500988,0.039336,0.011225,-0.999163,0.001499,-0.999694,-0.024707,0.001481,0.169624
115,0.526700,0.087786,0.500955,0.040733,0.013873,-0.999074,0.001408,-0.999732,-0.023091,0.001484,0.171108
116,0.526702,0.086303,0.500922,0.040768,0.013243,-0.999081,0.001309,-0.999773,-0.021264,0.001483,0.172591
117,0.526707,0.084817,0.500856,0.040804,0.012614,-0.999088,0.001202,-0.999810,-0.019464,0.001487,0.174079
118,0.526713,0.083337,0.500749,0.040923,0.012069,-0.999089,0.001093,-0.999840,-0.017856,0.001484,0.175562
119,0.526719,0.081857,0.500641,0.041042,0.011781,-0.999088,0.000979,-0.999864,-0.016463,0.001484,0.177047
120,0.526725,0.080373,0.500573,0.041158,0.010570,-0.999097,0.000857,-0.999884,-0.015185,0.001486,0.178532
121,0.526729,0.078889,0.500512,0.041275,0.009359,-0.999104,0.000721,-0.999903,-0.013889,0.001485,0.180017
122,0.526734,0.077404,0.500431,0.041499,0.008040,-0.999106,0.000573,-0.999920,-0.012600,0.001488,0.181505
123,0.526739,0.075918,0.500353,0.040747,0.006896,-0.999146,0.000429,-0.999934,-0.011474,0.001487,0.182992
124,0.526744,0.074435,0.500284,0.039995,0.005752,-0.999183,0.000303,-0.999943,-0.010649,0.001485,0.184478
125,0.526748,0.072952,0.500216,0.039443,0.003897,-0.999214,0.000210,-0.999949,-0.010063,0.001484,0.185962
126,0.526748,0.071453,0.500203,0.038891,0.002041,-0.999241,0.000126,-0.999955,-0.009434,0.001499,0.187461
